copyright,mode,concurrency,total_tps_per_gpu,aggregate_total_tps,duration_seconds,planned_requests,completed_requests,median_ttft_ms,median_tpot_ms,p99_ttft_ms,p99_tpot_ms,peak_output_tps,formal_start,formal_end,job_audit_status,formal_audit_status,topology_status,job_id,result,audit,formal_audit,topology_audit
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,512,3187.1233100921727,101987.94592294953,231.33086745196488,2560,2560,6127.050396025879,37.78404144135296,26929.90704043652,47.160491988309005,32299.800000000003,2026-08-16T15:13:45,2026-08-16T15:18:10,pass,pass,gpu_colocated,489280,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/logs/sa-bench_isl_8192_osl_1024/results_concurrency_512_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/low/489280/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,768,3669.0245720616444,117408.78630597262,180.852427387028,2304,2304,6296.841827512253,51.197960371477485,40438.92823857255,63.182915077343445,41989.799999999996,2026-08-16T14:40:51,2026-08-16T14:44:26,pass,pass,gpu_colocated,489281,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/logs/sa-bench_isl_8192_osl_1024/results_concurrency_768_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,1024,3825.014895382031,122400.476652225,231.30262866901467,3072,3072,7852.558697515633,67.16926731622709,53932.96144671971,76.85121276848886,49219.600000000006,2026-08-16T14:46:04,2026-08-16T14:50:32,pass,pass,gpu_colocated,489281,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/logs/sa-bench_isl_8192_osl_1024/results_concurrency_1024_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,1280,3980.5830620223273,127378.65798471447,277.8286453940091,3840,3840,7863.25262702303,81.46619435484209,67963.91183668398,89.85321176850137,53783.90000000001,2026-08-16T14:52:27,2026-08-16T14:57:45,pass,pass,gpu_colocated,489281,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/logs/sa-bench_isl_8192_osl_1024/results_concurrency_1280_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,1408,4003.732062172683,128119.42598952586,303.8445083510014,4224,4224,7583.385119010927,89.62058257773035,74276.21815933089,97.4924431767303,53368.9,2026-08-16T14:59:50,2026-08-16T15:05:37,pass,pass,gpu_colocated,489281,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/logs/sa-bench_isl_8192_osl_1024/results_concurrency_1408_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,1536,4065.8225429227155,130106.3213735269,326.4048014860018,4608,4608,7915.935223485576,97.19603149316961,81239.18413265725,107.60837200119704,57535.100000000006,2026-08-16T15:07:49,2026-08-16T15:14:00,pass,pass,gpu_colocated,489281,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/logs/sa-bench_isl_8192_osl_1024/results_concurrency_1536_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/mid/489281/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,1568,4057.6387636576046,129844.44043704335,333.8769365409971,4704,4704,10002.89849602268,95.05030409142648,82679.89509501727,106.33825318076224,55683.8,2026-08-16T14:41:37,2026-08-16T14:47:58,pass,pass,gpu_colocated,489284,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/edge/489284/logs/sa-bench_isl_8192_osl_1024/results_concurrency_1568_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/edge/489284/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/edge/489284/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/edge/489284/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,1600,4009.4445902963207,128302.22688948226,344.785909586004,4800,4800,11060.164555499796,96.33521699511722,83968.94034461933,112.99259422190933,57131.4,2026-08-16T14:50:20,2026-08-16T14:56:52,pass,pass,gpu_colocated,489284,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/edge/489284/logs/sa-bench_isl_8192_osl_1024/results_concurrency_1600_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/edge/489284/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/edge/489284/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/edge/489284/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,1632,3936.8278047019794,125978.48975046334,358.1685737730004,4896,4896,11084.774675982771,98.75842439833954,84049.73577341298,113.43194670366786,57536.6,2026-08-16T14:59:15,2026-08-16T15:06:01,pass,pass,gpu_colocated,489284,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/edge/489284/logs/sa-bench_isl_8192_osl_1024/results_concurrency_1632_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/edge/489284/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/edge/489284/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/edge/489284/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,1664,4011.1606320313253,128357.14022500241,358.42394057201454,4992,4992,14235.997121490072,97.35425286949658,86463.65195653345,114.08967332977231,56878.5,2026-08-16T15:27:31,2026-08-16T15:34:17,pass,pass,gpu_colocated,489416,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/boundary/489416/logs/sa-bench_isl_8192_osl_1024/results_concurrency_1664_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/boundary/489416/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/boundary/489416/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/boundary/489416/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",MTP3,1696,4074.900644078661,130396.82061051716,359.60238739300985,5088,5088,14398.70169799542,96.17078259681969,114567.80604180823,113.47161094810126,57539.899999999994,2026-08-16T15:55:31,2026-08-16T16:02:19,pass,pass,gpu_colocated,489456,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/beyond-boundary/489456/logs/sa-bench_isl_8192_osl_1024/results_concurrency_1696_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/beyond-boundary/489456/audit-full.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/beyond-boundary/489456/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/mtp3-v2-m104-replay-splitk-curve-20260816/beyond-boundary/489456/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",no-MTP,1,10.49632825780917,335.88250424989343,137.19083136797417,5,5,1025.6645730114542,25.758989868066088,1028.2085344428197,26.210839305608328,40.0,2026-08-16T08:07:17,2026-08-16T08:10:08,pass,pass,colocated,485090,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/full-curves-20260816/nomtp-low-mid/485090/logs/sa-bench_isl_8192_osl_1024/results_concurrency_1_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/full-curves-20260816/nomtp-low-mid/485090/audit-completed-c1-c1536.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/full-curves-20260816/nomtp-low-mid/485090/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/full-curves-20260816/nomtp-low-mid/485090/audit-topology-colocation.json
"Copyright (c) 2026, NVIDIA CORPORATION. All rights reserved.",no-MTP,2,20.129764363691727,644.1524596381353,143.07171946804738,10,10,1976.9106644962449,26.01044547752289,2108.830086433445,26.44291959374491,78.4,2026-08-16T08:11:10,2026-08-16T08:14:07,pass,pass,colocated,485090,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/full-curves-20260816/nomtp-low-mid/485090/logs/sa-bench_isl_8192_osl_1024/results_concurrency_2_gpus_32.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/full-curves-20260816/nomtp-low-mid/485090/audit-completed-c1-c1536.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/full-curves-20260816/nomtp-low-mid/485090/audit-formal-window-corrected.json,/scratch/fsw/portfolios/coreai/projects/coreai_comparch_trtllm/users/williamj/TensorRT-LLM/final-rerecheck/outputs/full-curves-20260816/nomtp-low-mid/485090/audit-topology-colocation.json
